id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,speed,sim,f_camera,camera,memory,screen,wifi,price
248,957,0.8,107,1201,1485,1846,12,5,7,Yes,3,high,Single,4.0,10.0,7772,LCD,n,848.45
249,1617,0.7,105,246,1038,829,9,0,10,Yes,4,medium,Dual,3.0,4.0,30753,LCD,none,955.96
250,893,0.6,183,417,946,2986,7,1,6,No,2,high,Dual,,1.0,55503,Touch,g,719.69
251,1210,0.1,93,1177,1462,2394,17,9,7,No,2,low,Single,,,63115,LCD,none,837.43
252,708,1.0,195,78,654,2169,6,5,7,Yes,4,high,Dual,,7.0,63483,Touch,a,702.11
253,835,0.2,101,323,1604,1181,13,5,15,No,3,medium,Dual,2.0,7.0,7503,Touch,b,636.78
254,1450,0.6,131,707,1882,575,15,9,12,Yes,2,high,Dual,9.0,17.0,19544,LCD,none,422.35
255,973,0.2,190,457,1816,2977,6,4,2,Yes,4,medium,Single,5.0,16.0,58260,LCD,none,850.97
256,601,0.1,154,356,765,532,12,8,10,Yes,4,medium,Single,4.0,13.0,4259,Touch,b,636.49
257,507,0.5,141,936,1398,1702,17,0,5,Yes,3,low,Dual,1.0,11.0,32290,Touch,b,673.47
258,564,0.5,168,912,1980,1074,14,8,15,No,4,medium,Dual,,1.0,51423,Touch,none,816.32
259,1559,0.5,162,179,1559,3352,9,1,3,Yes,4,medium,Dual,6.0,17.0,6634,Touch,g,1419.37
260,754,0.7,178,1914,1928,1027,6,3,5,No,4,low,Dual,7.0,10.0,59471,LCD,none,938.82
261,728,0.2,88,526,1529,2039,5,1,12,No,3,high,Dual,,1.0,25529,Touch,b,600.38
262,1431,0.6,191,156,952,461,7,3,8,Yes,4,low,Single,,1.0,56827,LCD,none,710.71
263,767,0.7,175,344,1517,527,10,0,15,No,2,medium,Single,4.0,10.0,28449,Touch,none,400.64
264,1722,0.8,177,865,1741,3271,14,0,15,No,3,high,Single,8.0,16.0,18427,LCD,b,1230.76
265,1992,1.0,100,1552,1596,606,9,3,4,Yes,4,medium,Single,5.0,15.0,57523,Touch,n,966.54
266,1876,0.3,86,546,1564,2513,10,8,16,No,4,low,Single,10.0,14.0,40145,Touch,none,932.14
267,1054,0.4,136,1097,1222,1675,18,4,14,No,4,medium,Dual,10.0,12.0,38456,Touch,b,860.86
268,1283,0.9,93,372,692,2698,9,6,17,Yes,3,medium,Dual,4.0,5.0,47626,Touch,none,788.47
269,1281,0.3,148,1285,1617,1129,12,1,6,Yes,2,high,Dual,,6.0,28183,Touch,none,629.99
270,1066,0.9,114,1242,1571,468,19,13,6,No,4,low,Single,2.0,18.0,7424,Touch,none,719.4
271,730,0.1,89,302,1247,1210,19,15,4,No,4,medium,Dual,,2.0,4713,Touch,a,731.4
272,1053,0.3,103,594,1767,3086,17,6,5,Yes,4,low,Dual,7.0,12.0,45801,Touch,a,855.12
273,1611,0.6,98,303,714,1595,8,4,9,Yes,3,low,Dual,11.0,14.0,3454,LCD,b,734.86
274,793,0.9,133,1858,1935,2332,17,13,14,No,4,medium,Dual,5.0,15.0,30709,Touch,g,1242.58
275,1220,0.5,125,403,1933,2589,19,11,15,No,3,high,Single,3.0,8.0,62773,Touch,g,1122.39
276,1662,0.8,126,32,1509,3760,9,5,13,No,4,low,Single,,13.0,61376,Touch,a,1239.07
277,1281,0.3,144,590,954,1851,8,2,9,Yes,4,high,Dual,3.0,19.0,8660,Touch,none,1062.64
278,538,0.8,177,235,662,417,8,4,9,No,4,low,Single,12.0,13.0,2719,LCD,a,652.67
279,823,0.4,187,630,888,294,13,9,11,Yes,2,low,Single,,4.0,39718,LCD,b,458.17
280,1733,1.0,119,357,527,3576,17,16,9,Yes,4,high,Single,3.0,20.0,36398,LCD,none,1098.58
281,1429,0.9,100,246,820,3945,11,7,18,No,4,medium,Dual,,14.0,40409,LCD,n,1528.34
282,1839,0.5,200,475,1493,927,19,10,18,Yes,4,medium,Single,9.0,11.0,54563,LCD,a,1009.3
283,659,0.5,110,1054,1929,2044,15,5,2,No,4,high,Single,6.0,7.0,6409,LCD,b,973.78
284,1953,0.1,158,555,764,2334,11,5,4,Yes,3,medium,Dual,7.0,9.0,56275,LCD,none,758.69
285,1172,0.7,164,607,1092,1477,12,0,6,No,4,medium,Single,,3.0,27439,LCD,none,1042.82
286,612,0.3,102,1360,1891,3161,8,4,3,Yes,2,medium,Dual,6.0,7.0,16521,LCD,none,902.7
287,1563,0.2,170,142,1699,3660,7,5,5,No,4,high,Single,,,24382,Touch,none,1056.84
288,1191,0.8,84,681,683,1604,14,3,9,No,4,medium,Dual,16.0,20.0,26988,LCD,b,910.46
289,615,0.6,163,104,1664,2211,7,4,18,Yes,2,low,Dual,,4.0,42592,LCD,b,604.72
290,1893,0.2,134,637,763,3822,14,3,18,Yes,2,medium,Dual,8.0,11.0,62926,Touch,b,1236.3
291,1563,0.1,151,410,572,3922,11,1,8,No,2,medium,Dual,10.0,13.0,16244,LCD,g,1098.31
292,1995,0.8,139,1830,1963,1203,14,12,18,Yes,3,medium,Single,6.0,18.0,9744,Touch,n,930.42
293,1517,0.6,143,802,1489,2822,15,5,11,No,4,low,Single,6.0,14.0,48965,Touch,a,1219.72
294,832,0.3,108,311,1294,447,15,13,12,No,4,medium,Dual,1.0,5.0,34700,Touch,none,720.18
295,1162,0.7,114,56,997,1652,5,0,20,No,4,medium,Single,,1.0,56430,LCD,none,852.27
296,1595,0.3,121,344,655,3608,15,1,16,Yes,2,high,Single,7.0,19.0,12712,Touch,none,817.79
297,1329,0.9,181,1053,1458,1228,8,6,6,Yes,3,medium,Single,1.0,2.0,52237,LCD,g,875.63
298,928,0.7,80,221,1243,666,19,10,5,Yes,2,low,Dual,11.0,13.0,56801,Touch,none,445.81
299,1656,0.1,105,506,519,1499,12,8,19,Yes,4,low,Dual,8.0,17.0,38251,LCD,a,1013.93
300,1937,0.6,189,1728,1767,3321,5,4,14,Yes,3,medium,Single,17.0,19.0,58418,Touch,none,1161.6
301,977,0.6,181,63,566,1206,7,1,8,Yes,2,medium,Dual,2.0,7.0,57884,Touch,b,383.91
302,768,0.1,113,418,515,952,19,3,16,Yes,4,low,Single,16.0,20.0,56531,LCD,b,584.27
303,1464,0.9,117,854,1168,3927,5,3,15,Yes,2,low,Dual,11.0,14.0,11854,Touch,g,948.26
304,1177,0.4,191,178,882,311,18,5,19,No,4,low,Single,1.0,8.0,29250,LCD,none,708.36
305,1348,0.3,98,1869,1942,955,18,11,7,No,3,medium,Single,18.0,20.0,52504,Touch,g,984.26
306,1956,0.5,87,185,776,1109,13,1,19,No,4,medium,Single,,2.0,37875,Touch,none,809.65
307,1751,0.6,178,170,564,2969,8,6,17,No,2,low,Dual,6.0,20.0,8534,LCD,a,672.29
308,1530,0.8,177,454,1975,725,11,10,19,No,2,medium,Single,11.0,13.0,42836,LCD,b,683.46
309,1997,0.5,185,866,1212,1655,7,6,15,Yes,3,medium,Dual,1.0,8.0,40547,LCD,none,1026.96
310,1414,0.5,180,44,1118,3490,16,12,13,Yes,2,medium,Dual,5.0,6.0,44463,Touch,none,843.55
311,1707,0.8,80,1331,1388,1774,12,0,10,No,2,medium,Single,,2.0,41427,LCD,none,800.88
312,894,0.5,199,1285,1462,3615,13,0,6,No,4,low,Dual,1.0,14.0,50277,LCD,n,1054.83
313,645,0.7,184,741,1130,714,18,2,13,No,4,medium,Single,6.0,17.0,41552,Touch,none,782.97
314,1163,0.6,155,520,754,2768,19,2,12,No,2,high,Dual,,,49273,LCD,n,702.94
315,1126,0.9,165,114,1726,3739,14,1,13,No,3,low,Single,3.0,17.0,50011,LCD,none,1057.18
316,1648,0.8,170,1153,1876,610,8,1,6,No,4,low,Single,6.0,9.0,64744,Touch,none,891.5
317,1170,0.4,199,474,709,715,18,5,20,Yes,4,low,Single,6.0,13.0,14482,LCD,a,844.89
318,508,0.3,94,39,557,663,13,12,7,No,4,low,Single,7.0,8.0,42573,LCD,none,629.53
319,1097,0.2,161,419,1914,1725,14,5,9,No,3,medium,Dual,6.0,8.0,64780,LCD,n,815.97
320,728,0.6,101,584,775,834,16,0,5,No,4,medium,Dual,,20.0,5326,Touch,none,740.89
321,1980,0.8,177,312,1910,3865,12,10,18,No,4,low,Dual,2.0,13.0,29668,LCD,none,1137.88
322,1504,0.9,182,19,1923,3059,6,5,10,No,2,high,Dual,1.0,2.0,64654,Touch,none,961.13
323,1379,1.0,83,207,1370,651,9,6,7,Yes,4,medium,Dual,14.0,17.0,63758,Touch,none,817.92
324,1698,0.9,160,363,994,796,13,3,14,No,4,medium,Single,5.0,20.0,18781,LCD,n,896.41
325,920,0.4,115,209,1078,785,10,7,5,No,2,medium,Dual,5.0,14.0,25356,Touch,b,553.53
326,1144,0.4,189,159,724,3252,16,0,8,Yes,2,medium,Dual,,11.0,21488,LCD,none,1018.74
327,1995,0.2,129,649,1104,1322,15,11,7,Yes,2,low,Single,6.0,15.0,26213,Touch,a,806.0
328,1430,0.5,183,1132,1182,2832,7,1,15,No,2,low,Dual,1.0,16.0,27213,Touch,b,803.68
329,972,0.4,193,1392,1795,1615,11,6,13,Yes,2,low,Dual,5.0,8.0,13436,Touch,none,824.66
330,662,0.8,138,1001,1224,2125,17,15,15,No,2,low,Single,5.0,10.0,20392,Touch,b,617.46
331,1867,0.1,191,712,1442,990,6,1,2,No,4,high,Single,,3.0,9597,LCD,n,817.64
332,1730,0.1,143,418,1023,1595,14,0,12,No,4,medium,Dual,,10.0,20734,Touch,none,862.41
333,1723,0.6,126,384,1361,1213,5,0,16,Yes,4,medium,Single,1.0,17.0,7731,Touch,n,904.96
334,1882,0.2,140,119,652,2500,17,1,11,Yes,2,medium,Dual,8.0,13.0,47645,LCD,g,764.35
335,803,0.3,106,627,935,2801,18,15,12,No,2,low,Dual,,1.0,18903,Touch,none,638.55
336,580,0.9,91,1086,1345,3451,15,1,11,Yes,3,medium,Dual,,1.0,46669,Touch,none,796.48
337,668,0.3,114,195,1292,1201,14,12,4,No,4,high,Single,2.0,19.0,48711,Touch,none,858.3
338,1391,0.8,182,14,1256,3139,14,7,14,No,4,medium,Single,2.0,6.0,36250,Touch,none,1189.93
339,1560,0.8,169,745,1364,1938,15,11,16,No,4,high,Single,,1.0,22720,Touch,a,1036.62
340,821,0.1,109,253,1786,3185,8,4,15,No,3,medium,Dual,5.0,9.0,54389,LCD,none,434.36
341,811,0.3,106,333,1429,2111,18,7,2,Yes,4,high,Dual,5.0,13.0,2789,LCD,b,617.29
342,1989,0.1,193,629,682,2369,7,0,18,Yes,3,high,Dual,8.0,15.0,17384,Touch,none,1079.64
343,1034,0.7,120,707,1199,3625,17,1,12,Yes,2,high,Dual,6.0,20.0,37263,Touch,a,990.08
344,618,0.3,86,1314,1688,1051,13,10,15,No,2,medium,Single,2.0,4.0,6532,LCD,b,501.13
345,654,0.7,196,1715,1898,1036,17,4,13,Yes,4,medium,Single,,4.0,52663,LCD,none,973.48
346,576,0.2,184,513,1438,2938,6,0,5,Yes,4,high,Single,2.0,7.0,10728,Touch,a,737.26
347,667,0.7,185,13,1463,2855,5,0,19,Yes,4,low,Single,6.0,13.0,3425,LCD,g,842.43
348,869,0.6,118,1243,1584,2727,13,3,8,Yes,4,medium,Single,7.0,15.0,57673,LCD,none,974.67
349,635,0.4,149,300,1059,2973,12,5,18,Yes,2,low,Dual,2.0,4.0,42664,LCD,a,567.35
350,609,0.3,117,58,1253,2581,15,11,15,Yes,4,high,Single,15.0,16.0,44751,LCD,a,823.63
351,1557,0.1,123,1107,1442,2690,18,16,9,No,2,high,Dual,16.0,20.0,2527,LCD,a,696.85
352,1604,1.0,191,134,939,916,13,10,12,Yes,2,medium,Single,2.0,5.0,33358,Touch,a,815.13
353,1182,0.5,138,275,986,2563,19,17,19,No,4,low,Single,7.0,16.0,8494,LCD,none,1039.2
354,848,0.8,148,176,1029,3359,10,0,14,Yes,4,medium,Dual,10.0,18.0,19579,LCD,none,839.66
355,1610,0.9,181,1236,1280,941,8,4,9,Yes,4,high,Single,7.0,12.0,64574,Touch,none,840.46
356,1828,0.9,199,336,898,2280,17,14,4,Yes,2,medium,Dual,,1.0,17663,LCD,none,634.68
357,880,0.5,194,1116,1381,827,15,9,6,No,4,medium,Dual,1.0,3.0,50164,LCD,n,944.84
358,1394,0.3,175,1010,1565,473,11,1,20,Yes,4,low,Dual,10.0,13.0,62716,Touch,none,747.84
359,1960,0.3,86,205,1299,3865,10,7,11,Yes,4,high,Dual,1.0,3.0,61304,LCD,none,964.83
360,809,0.9,91,1453,1726,1274,18,7,3,No,2,low,Single,10.0,19.0,21982,LCD,none,577.67
361,899,0.9,172,788,1331,364,11,1,7,No,4,low,Dual,13.0,18.0,57097,Touch,none,774.48
362,1976,0.8,171,1301,1922,3699,17,11,13,Yes,2,low,Dual,4.0,7.0,32785,Touch,g,1072.48
363,879,0.8,187,463,1038,2927,14,13,11,No,4,medium,Dual,,2.0,21849,LCD,a,1033.36
364,916,0.3,195,188,992,1470,13,0,14,Yes,2,high,Single,,12.0,36290,Touch,none,584.42
365,763,0.5,92,1028,1186,1050,6,4,8,No,4,medium,Dual,8.0,14.0,2812,Touch,none,720.22
366,508,0.4,162,1419,1920,2616,18,8,10,No,3,medium,Dual,,2.0,9311,Touch,g,901.1
367,825,0.8,99,1471,1866,2915,8,2,10,No,3,high,Dual,,17.0,34702,Touch,none,833.5
368,1864,0.7,178,168,981,2686,11,7,18,No,4,medium,Single,8.0,12.0,46637,Touch,g,1129.85
369,1725,1.0,185,1125,1195,1243,19,18,5,No,4,low,Dual,8.0,12.0,52560,Touch,g,1033.71
370,1108,0.1,183,130,1706,3264,16,1,13,Yes,2,high,Single,10.0,12.0,52266,Touch,g,960.62
371,1011,0.2,131,481,749,2261,7,6,16,No,4,medium,Single,4.0,18.0,36574,Touch,a,1035.48
372,1703,0.7,138,1411,1711,2993,5,1,20,Yes,4,medium,Dual,17.0,19.0,55413,Touch,n,942.89
373,1067,0.5,135,79,681,706,12,9,16,Yes,2,medium,Dual,,,58161,Touch,none,582.38
374,1334,0.6,115,1187,1974,2542,10,1,8,Yes,4,high,Single,5.0,14.0,42347,LCD,none,831.8
375,775,0.4,189,561,1510,2523,17,16,9,Yes,3,high,Single,,10.0,30737,LCD,n,1100.34
376,1899,0.1,151,96,814,336,13,11,4,Yes,3,low,Single,,,26358,LCD,g,700.09
377,930,0.4,97,77,1025,2457,11,7,17,Yes,4,medium,Dual,1.0,10.0,14687,Touch,none,797.61
378,1058,0.4,166,493,1247,418,9,7,16,No,2,medium,Single,2.0,14.0,19811,LCD,a,499.61
379,1187,0.4,145,1173,1814,3917,13,11,8,Yes,4,medium,Single,,9.0,46595,LCD,a,1182.02
380,1874,0.9,166,964,1233,1246,8,1,2,Yes,2,high,Dual,10.0,13.0,8785,LCD,b,682.11
381,1482,0.2,142,634,642,2971,12,8,12,No,3,low,Single,2.0,10.0,48751,Touch,a,864.69
382,1809,0.1,174,639,721,2324,10,6,16,Yes,4,medium,Single,3.0,4.0,59634,LCD,g,1130.69
383,864,0.7,187,127,1670,3121,18,2,16,Yes,4,high,Dual,,1.0,54560,Touch,a,876.69
384,625,0.2,191,431,550,3801,10,6,2,Yes,4,medium,Single,12.0,20.0,33119,LCD,none,1162.6
385,1880,0.7,138,71,699,3333,17,15,7,Yes,4,medium,Single,4.0,5.0,18940,LCD,none,1028.02
386,1138,0.2,187,111,1138,3475,19,3,3,No,4,medium,Single,12.0,17.0,44315,LCD,none,1050.06
387,560,1.0,146,356,1903,2360,17,16,18,No,2,low,Single,14.0,15.0,22860,Touch,b,620.72
388,1117,0.6,144,798,817,2895,7,6,16,No,3,low,Single,1.0,8.0,12381,Touch,none,1070.88
389,1712,0.5,137,747,1126,3652,16,1,19,No,3,medium,Single,1.0,12.0,63849,LCD,none,1158.95
390,1836,0.1,134,408,1139,3097,5,0,18,Yes,2,medium,Dual,3.0,16.0,26763,Touch,none,887.18
391,1036,0.2,119,373,926,2101,10,7,2,Yes,2,high,Single,,3.0,39446,Touch,none,526.03
392,1860,0.6,162,1362,1506,3918,9,2,8,Yes,2,high,Single,15.0,16.0,23588,Touch,none,905.41
393,1375,0.9,145,475,726,3869,19,18,10,Yes,4,medium,Single,3.0,19.0,9333,Touch,a,1359.46
394,1945,0.3,195,743,1753,732,14,1,14,No,4,medium,Dual,,1.0,57555,Touch,none,856.62
395,1896,0.4,141,447,794,3684,9,7,18,No,4,low,Dual,8.0,13.0,7580,LCD,none,1405.37
396,788,0.9,91,42,1161,3969,12,8,6,No,4,high,Dual,4.0,12.0,57738,Touch,a,1142.79
397,880,0.7,173,30,1350,1414,12,1,7,Yes,3,medium,Dual,,2.0,33867,Touch,none,591.86
398,1323,0.2,131,162,619,1892,10,0,15,Yes,4,high,Dual,10.0,12.0,28370,Touch,g,1031.14
399,1868,0.2,169,347,660,3131,8,3,7,No,4,medium,Dual,,4.0,41910,Touch,g,844.32
400,1266,0.2,184,346,1468,2532,10,5,4,No,4,medium,Dual,,12.0,7254,Touch,n,1360.99
401,1042,0.8,93,727,1705,3215,18,0,20,No,4,high,Dual,16.0,18.0,50350,Touch,a,1133.37
402,1479,0.6,156,180,1476,3323,13,12,6,No,3,low,Single,8.0,10.0,20177,LCD,a,912.48
403,1476,0.1,171,1641,1666,1529,13,8,3,Yes,4,medium,Dual,,5.0,55389,LCD,n,1065.44
404,1552,0.2,123,269,1026,2403,9,2,9,Yes,4,medium,Single,6.0,9.0,13510,Touch,b,931.42
405,1454,0.7,83,250,1033,3419,7,5,5,Yes,3,low,Dual,1.0,3.0,34214,Touch,none,1054.85
406,1007,0.1,95,1186,1529,3648,9,0,16,No,2,medium,Single,,2.0,45351,LCD,none,952.32
407,652,0.7,173,77,559,1974,12,10,12,Yes,4,high,Dual,9.0,11.0,17392,LCD,none,886.94
408,1504,0.7,142,507,973,2806,7,2,7,No,4,medium,Single,12.0,15.0,34758,LCD,n,849.36
409,1726,0.6,193,379,1223,2239,13,9,13,Yes,3,low,Dual,2.0,3.0,51571,LCD,n,991.14
410,1029,0.2,171,264,956,582,15,7,4,Yes,4,medium,Dual,5.0,8.0,5404,Touch,b,712.06
411,1582,0.5,112,1486,1797,3890,17,10,10,No,4,high,Single,2.0,13.0,44878,Touch,g,1323.12
412,1478,0.7,99,694,882,1141,5,2,6,Yes,2,low,Dual,12.0,17.0,48442,LCD,n,743.02
413,1178,0.6,101,579,596,2511,6,3,17,Yes,2,medium,Single,,,49662,LCD,none,491.64
414,707,0.8,131,495,574,3838,9,2,7,No,3,medium,Dual,2.0,17.0,25134,LCD,a,874.84
415,755,0.3,186,315,990,2734,10,1,16,Yes,4,high,Single,5.0,12.0,51050,LCD,a,1036.06
416,912,0.3,161,329,1053,2330,19,5,20,Yes,2,medium,Single,1.0,5.0,54401,Touch,none,659.92
417,651,0.2,176,548,858,2244,14,9,19,Yes,4,low,Dual,2.0,4.0,63224,Touch,none,913.84
418,1483,0.2,176,531,758,1851,15,13,2,No,4,medium,Single,1.0,2.0,54351,Touch,none,708.81
419,914,0.8,100,191,1495,808,11,7,5,Yes,3,low,Single,2.0,12.0,4395,Touch,none,709.41
420,1456,0.4,105,823,1104,1587,6,5,20,Yes,3,low,Dual,7.0,12.0,7426,LCD,a,890.71
421,1178,0.3,84,96,1352,2492,16,14,10,No,3,medium,Dual,6.0,17.0,57504,Touch,none,823.6
422,1503,0.2,166,841,1304,2122,15,1,2,Yes,4,low,Single,10.0,14.0,43668,LCD,none,956.8
423,1681,0.4,158,195,1205,1122,12,6,16,Yes,2,high,Single,2.0,13.0,11896,Touch,b,605.33
424,715,0.1,160,21,562,3709,14,2,10,No,2,high,Dual,4.0,6.0,48233,LCD,none,773.03
425,1876,0.4,182,235,585,3021,12,2,18,No,4,high,Dual,3.0,4.0,56793,LCD,none,1042.61
426,1190,0.3,186,1417,1441,624,9,3,19,Yes,3,medium,Dual,9.0,10.0,47821,Touch,g,706.76
427,1755,0.1,134,286,1075,3937,8,1,7,Yes,4,medium,Single,,2.0,24755,LCD,a,1472.76
428,1197,0.5,149,649,1629,1797,19,5,4,No,4,medium,Single,3.0,7.0,20589,Touch,n,1047.01
429,1048,0.8,194,966,1975,1458,5,1,15,Yes,4,low,Single,10.0,19.0,28770,LCD,b,675.41
430,1887,0.2,126,1172,1798,3348,18,16,16,Yes,4,high,Dual,6.0,7.0,17506,Touch,none,1459.05
431,1772,0.7,116,270,545,1834,5,2,20,Yes,2,low,Dual,3.0,15.0,64542,Touch,n,952.95
432,1421,0.4,165,781,1657,2775,13,8,14,No,4,high,Single,,2.0,57197,LCD,b,940.16
433,1464,0.7,153,418,1341,1277,13,6,19,No,4,low,Dual,,8.0,17081,LCD,none,891.71
434,728,0.8,111,126,817,457,17,10,16,No,3,high,Dual,4.0,5.0,23286,Touch,b,588.64
435,954,0.3,134,228,1058,438,17,0,2,Yes,3,low,Single,,11.0,50453,LCD,none,529.52
436,685,0.8,82,1091,1203,3210,15,7,2,No,4,low,Dual,8.0,15.0,13824,Touch,n,785.6
437,1472,0.5,130,1452,1744,985,12,11,7,No,3,high,Dual,1.0,10.0,36935,Touch,none,867.05
438,853,0.6,200,674,740,3701,15,8,8,Yes,4,medium,Single,10.0,16.0,3558,Touch,none,1469.47
439,1469,0.7,123,398,1133,1052,8,1,3,No,2,medium,Single,,,9036,Touch,none,543.4
440,1310,0.9,135,449,889,1175,16,0,8,Yes,2,high,Dual,6.0,9.0,57647,LCD,none,483.91
441,1654,0.3,146,1184,1719,1070,8,1,14,No,3,medium,Single,1.0,2.0,12037,Touch,a,868.75
442,902,0.3,134,675,1285,3411,12,11,15,Yes,2,low,Single,3.0,9.0,3686,LCD,b,442.1
443,1448,1.0,156,1792,1850,1175,12,9,6,No,2,medium,Dual,13.0,16.0,26399,Touch,none,876.47
444,1631,0.1,198,177,1905,301,13,5,13,No,4,low,Dual,2.0,12.0,3410,LCD,none,754.1
445,1608,0.4,183,1013,1158,489,15,11,8,No,2,medium,Dual,7.0,13.0,28261,LCD,a,484.47
446,1991,0.9,145,1058,1325,1733,5,3,8,Yes,4,high,Single,5.0,13.0,64430,Touch,none,853.56
447,1349,0.3,114,592,772,2756,11,3,4,No,3,medium,Dual,15.0,16.0,62504,LCD,none,804.83
448,1589,0.8,195,810,1743,2612,8,2,16,No,4,high,Single,5.0,18.0,51590,LCD,none,1033.54
449,1844,0.7,158,533,882,1724,5,1,14,Yes,2,high,Dual,1.0,3.0,51714,Touch,a,733.71
450,712,0.2,84,558,1208,2190,16,12,4,Yes,4,low,Dual,3.0,10.0,34987,Touch,g,873.28
451,972,0.7,107,681,1050,1900,16,8,19,Yes,4,medium,Single,,4.0,54650,LCD,b,701.83
452,1406,0.8,98,1017,1366,3915,9,8,2,No,4,low,Dual,2.0,5.0,34707,LCD,g,1031.62
453,1289,1.0,178,765,899,1043,6,2,11,No,4,low,Single,10.0,12.0,25632,Touch,none,715.94
454,932,0.7,154,1176,1224,3817,8,7,9,No,3,medium,Single,1.0,2.0,64847,Touch,n,894.49
455,1747,0.7,94,947,1131,2362,17,2,19,Yes,4,low,Single,6.0,19.0,48346,Touch,none,1123.72
456,1172,0.1,95,1314,1884,1107,7,3,5,Yes,2,medium,Dual,4.0,7.0,41586,LCD,none,677.26
457,1128,0.4,84,609,1370,2982,14,9,12,Yes,3,medium,Single,12.0,14.0,53712,Touch,none,1059.31
458,664,0.9,106,754,1497,2042,17,15,19,No,3,medium,Dual,,5.0,28512,Touch,none,804.58
459,513,0.1,186,619,867,1343,5,1,9,Yes,4,low,Single,6.0,12.0,44794,Touch,none,772.5
460,1742,0.4,170,453,681,2610,12,3,10,No,4,high,Dual,9.0,12.0,43573,LCD,b,1151.8
461,1512,0.7,162,205,884,2335,15,7,7,Yes,3,medium,Single,12.0,17.0,5957,Touch,a,649.8
462,1986,0.1,165,282,1358,1614,17,12,3,No,4,low,Dual,3.0,20.0,51702,Touch,a,923.9
463,965,1.0,109,130,998,1138,9,8,10,Yes,2,medium,Dual,5.0,14.0,13650,Touch,none,661.36
464,1067,0.6,122,494,1989,604,16,14,11,Yes,4,high,Dual,3.0,15.0,40255,LCD,none,731.69
465,1583,0.8,118,275,862,3652,14,10,9,Yes,4,medium,Single,5.0,10.0,42278,LCD,none,1115.83
466,1653,0.9,176,447,1785,3955,19,4,18,No,4,low,Dual,2.0,6.0,37301,Touch,a,1156.27
467,1433,0.7,133,281,799,258,11,9,4,No,3,medium,Single,7.0,11.0,4859,Touch,b,475.93
468,765,0.1,153,6,793,1066,11,1,16,No,4,high,Single,,,18277,Touch,none,737.91
469,1845,0.3,96,292,695,1731,9,5,6,Yes,2,low,Dual,10.0,12.0,61897,LCD,none,628.25
470,752,0.7,87,164,728,3860,7,5,16,No,2,low,Dual,1.0,13.0,48902,LCD,none,588.41
471,1948,0.1,100,631,1940,3630,9,7,17,No,2,high,Dual,8.0,10.0,17036,Touch,none,995.99
472,1077,1.0,174,897,1304,1965,6,2,6,No,4,high,Dual,,4.0,45639,Touch,none,976.05
473,932,0.7,104,268,1078,1459,6,1,19,Yes,4,low,Single,1.0,2.0,60527,Touch,none,845.95
474,1968,0.8,115,861,1259,2323,9,8,7,No,2,low,Single,,7.0,22373,LCD,a,600.33
475,1122,0.6,120,331,790,3291,11,2,13,No,3,medium,Single,9.0,14.0,2273,Touch,n,883.33
476,1588,0.8,159,1064,1594,3272,18,0,17,No,4,low,Single,,13.0,62003,Touch,none,975.46
477,601,0.3,101,509,548,918,9,1,12,No,2,medium,Single,4.0,18.0,26357,LCD,none,530.81
478,1615,0.1,132,622,1256,3488,16,2,3,No,2,low,Single,14.0,16.0,15317,LCD,a,716.66
479,1589,0.1,128,957,1911,3961,16,14,14,Yes,3,medium,Dual,2.0,4.0,58842,LCD,b,999.86
480,1417,0.9,114,494,1649,590,11,3,6,Yes,4,high,Single,2.0,4.0,56442,LCD,a,889.51
481,1697,0.1,95,236,1264,3701,15,9,8,Yes,4,low,Single,1.0,3.0,34459,Touch,none,1774.18
482,1330,0.3,83,980,1262,463,14,6,11,Yes,2,medium,Dual,14.0,17.0,3561,LCD,b,591.36
483,1476,0.7,148,1789,1972,3644,15,10,6,No,4,low,Single,,2.0,43230,LCD,a,1368.2
484,1579,0.2,142,831,1484,1713,16,4,10,Yes,3,medium,Single,,18.0,27421,Touch,g,874.96
485,1277,0.3,200,902,1090,429,9,4,14,No,4,high,Single,,3.0,41170,Touch,b,757.32
486,1089,0.7,145,636,1259,2765,13,12,10,Yes,4,low,Dual,12.0,15.0,2762,LCD,g,887.04
487,1663,0.3,169,831,1439,2084,7,1,18,Yes,4,high,Dual,13.0,14.0,27495,LCD,none,1160.04
488,1949,0.8,186,518,592,1125,17,10,9,No,2,medium,Single,,4.0,20117,LCD,none,903.55
489,1138,0.6,109,233,1777,2048,6,0,18,No,4,medium,Single,5.0,14.0,48527,Touch,a,852.34
490,685,0.3,174,725,870,1223,8,0,18,No,3,high,Single,7.0,20.0,17663,LCD,a,644.71
491,1889,1.0,132,170,1106,3672,5,1,3,No,4,high,Single,5.0,10.0,31376,Touch,n,1088.7
492,857,0.2,195,157,948,3100,17,5,13,Yes,3,medium,Dual,3.0,9.0,17218,Touch,none,951.73
493,1902,0.8,124,1142,1393,343,11,8,18,No,2,high,Dual,6.0,9.0,50533,Touch,none,610.92
494,1225,0.1,155,840,982,1970,16,8,15,Yes,3,high,Single,,,15148,Touch,none,869.26
495,1066,0.6,131,401,1586,2728,6,0,17,No,3,medium,Single,5.0,17.0,39321,Touch,n,766.1
496,1554,1.0,124,395,1579,3635,7,4,18,Yes,2,low,Dual,11.0,12.0,5787,LCD,none,990.27
